1,CEG Campus,Chennai,MECH,198,196,195,192,185,180,175
2,ACT Campus,Chennai,MECH,195,193,192,190,183,178,173
4,MIT Campus,Chennai,MECH,197,195,194,191,184,179,174
5,Annamalai University,Chidambaram,MECH,190,188,187,185,178,172,165
1013,University College of Engineering,Thirukkuvalai,MECH,180,178,176,174,168,162,155
1014,University College of Engineering,Panruti,MECH,182,180,178,176,170,164,157
1015,University College of Engineering,Ariyalur,MECH,181,179,177,175,169,163,156
1026,University College of Engineering,Tindivanam,MECH,183,181,179,177,171,165,158
1101,Aalim Muhammed Salegh College of Engineering,Chennai,MECH,175,173,171,169,163,157,150
1106,Jaya Engineering College,Chennai,MECH,177,175,173,171,165,159,152
1107,Lakshmi Chand Rajani College of Engineering and Technology,Chennai,MECH,172,170,168,166,160,154,147
1110,Prathyusha Institute of Technology and Management,Chennai,MECH,176,174,172,170,164,158,151
1112,R.M.D Engineering College,Chennai,MECH,190,188,186,184,178,172,165
1113,R.M.K Engineering College,Chennai,MECH,192,190,188,186,180,174,167
1114,S.A Engineering College,Chennai,MECH,189,187,185,183,177,171,164
1115,Sri Ram Engineering College,Chennai,MECH,180,178,176,174,168,162,155
1116,Sri Venkateswara College of Engineering and Technology,Chennai,MECH,178,176,174,172,166,160,153
1118,Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College,Chennai,MECH,179,177,175,173,167,161,154
1120,Velammal Engineering College,Chennai,MECH,185,183,181,179,173,167,160
1121,Sri Venkateswara Institute of Science and Technology,Chennai,MECH,170,168,166,164,158,152,145
1122,Vel High Tech Dr.Rangarajan Dr.Sakunthala Engineering College,Chennai,MECH,175,173,171,169,163,157,150
1123,Gojan School of Business and Technology,Chennai,MECH,168,166,164,162,156,150,143
1124,Sams College of Engineering and Technology,Chennai,MECH,167,165,163,161,155,149,142
1125,PMR Engineering College,Chennai,MECH,176,174,172,170,164,158,151
1126,JNN Institute of Engineering,Chennai,MECH,172,170,168,166,160,154,147
1127,St. Peters College of Engineering and Technology,Chennai,MECH,178,176,174,172,166,160,153
1128,R.M.K. College of Engineering and Technology,Chennai,MECH,191,189,187,185,179,173,166
1131,Vel Tech,Chennai,MECH,188,186,184,182,176,170,163
1133,Annai Veilankanni's College of Engineering,Chennai,MECH,171,169,167,165,159,153,146
1137,Annai Mira College of Engineering and Technology,Chennai,MECH,170,168,166,164,158,152,145
1209,Pallavan College of Engineering,Kanchipuram,MECH,169,167,165,163,157,151,144
1210,Panimalar Engineering College,Chennai,MECH,186,184,182,180,174,168,161
1211,Rajalakshmi Engineering College,Chennai,MECH,189,187,185,183,177,171,164
1212,Rajiv Gandhi College of Engineering,Chennai,MECH,180,178,176,174,168,162,155
1213,S.K.R Engineering College,Chennai,MECH,177,175,173,171,165,159,152
1214,Sakthi Mariamman Engineering College,Chennai,MECH,175,173,171,169,163,157,150
1216,Saveetha Engineering College,Chennai,MECH,185,183,181,179,173,167,160
1217,Sree Sastha Institute of Engineering and Technology,Chennai,MECH,174,172,170,168,162,156,149
1218,Sri Muthukumaran Institute of Technology,Chennai,MECH,172,170,168,166,160,154,147
1219,Sri Venkateswara College of Engineering,Chennai,MECH,188,186,184,182,176,170,163
1234,Indira Gandhi College of Engineering and Technology for Women,Chennai,MECH,168,166,164,162,156,150,143
1235,JEI Mathaajee College of Engineering,Chennai,MECH,166,164,162,160,154,148,141
1237,Velammal Institute of Technology,Chennai,MECH,180,178,176,174,168,162,155
1238,BKR College of Engineering and Technology,Chennai,MECH,165,163,161,159,153,147,140
1241,T.J.S. Engineering College,Chennai,MECH,170,168,166,164,158,152,145
1242,Sree Sastha College of Engineering,Chennai,MECH,172,170,168,166,160,154,147
1243,Madha Institute of Engineering and Technology,Chennai,MECH,171,169,167,165,159,153,146
1301,Mohamed Sathak A.J. College of Engineering,Chennai,MECH,173,171,169,167,161,155,148
1303,Anand Institute of Higher Technology,Chennai,MECH,175,173,171,169,163,157,150
1304,Easwari Engineering College,Chennai,MECH,190,185,183,180,170,160,150
1319,Thangavelu Engineering College,Chennai,MECH,175,170,168,165,155,145,140
1320,S.R.R Engineering College,Chennai,MECH,180,175,172,170,160,150,145
1321,Central Institute of Plastics Engineering and Technology,Chennai,MECH,185,180,178,175,165,155,150
1322,Dhanalakshmi Srinivasan College of Engineering and Technology,Chennai,MECH,170,165,163,160,150,140,135
1323,A.C.T. College of Engineering and Technology,Chennai,MECH,165,160,158,155,145,135,130
1324,Sri Sai Ram Institute of Technology,Chennai,MECH,190,185,183,180,170,160,150
1325,St.Joseph's College of Engineering,Chennai,MECH,195,190,188,185,175,165,155
1333,VI Institute of Technology,Chennai,MECH,180,175,173,170,160,150,145
1334,Balamani Arunachalam Educational & Charitable Trust's group of inst.,Chennai,MECH,160,155,153,150,140,130,125
1335,Sri Krishna Institute of Technology,Chennai,MECH,175,170,168,165,155,145,140
1413,Sri Venkateswaraa College of Technology,Chennai,MECH,170,165,163,160,150,140,135
1414,Prince Shri Venkateshwara Padmavathy Engineering College,Chennai,MECH,175,170,168,165,155,145,140
1415,T.S.M. Jain College of Technology,Chennai,MECH,160,155,153,150,140,130,125
1416,Sakthi Engineering College,Chennai,MECH,165,160,158,155,145,135,130
1417,Shri Andal Alagar College of Engineering,Chennai,MECH,170,165,163,160,150,140,135
1418,Sri Lakshmi Ammal Engineering College,Chennai,MECH,175,170,168,165,155,145,140
1419,Sri Sairam Engineering College,Chennai,MECH,195,190,188,185,175,165,155
1420,Tagore Engineering College,Chennai,MECH,180,175,173,170,160,150,145
1421,V.R.S. College of Engineering and Technology,Chennai,MECH,170,165,163,160,150,140,135
1422,Valliammai Engineering College,Chennai,MECH,190,185,183,180,170,160,150
1435,Balaji College of Engineering and Technology,Chennai,MECH,165,160,158,155,145,135,130
1436,A.R. Engineering College,Chennai,MECH,160,155,153,150,140,130,125
1437,Rrase College of Engineering,Chennai,MECH,170,165,163,160,150,140,135
1438,Sree Krishna College of Engineering,Chennai,MECH,175,170,168,165,155,145,140
1439,S.R.I College of Engineering and Technology,Chennai,MECH,160,155,153,150,140,130,125
1440,Jaya Suriya Engineering College,Chennai,MECH,165,160,158,155,145,135,130
1441,A K T Memorial College of Engineering and Technology,Chennai,MECH,160,155,153,150,140,130,125
1442,Prince Dr.K.Vasudevan College of Engineering and Technology,Chennai,MECH,175,170,168,165,155,145,140
1444,Chendu College of Engineering and Technology,Chennai,MECH,160,155,153,150,140,130,125
1445,Sri Rangapoopathi College of Engineering,Chennai,MECH,165,160,158,155,145,135,130
1508,Kamban Engineering College,Tiruvannamalai,MECH,160,155,153,150,140,130,125
1509,Meenakshi College of Engineering,Chennai,MECH,175,170,168,165,155,145,140
1510,Priyadarshini Engineering College,Vellore,MECH,170,165,163,160,150,140,135
1511,Ranippettai Engineering College,Vellore,MECH,165,160,158,155,145,135,130
1512,S.K.P Engineering College,Tiruvannamalai,MECH,160,155,153,150,140,130,125
1513,Sri Balaji Chockalingam Engineering College,Vellore,MECH,160,155,153,150,140,130,125
1514,Sri Nandhanam College of Engineering and Technology,Vellore,MECH,165,160,158,155,145,135,130
1515,Saraswathi Velu College of Engineering,Vellore,MECH,160,155,153,150,140,130,125
1516,Thanthai Periyar Govt. Institute of Technology,Vellore,MECH,185,180,178,175,165,155,150
1517,Thirumalai Engineering College,Vellore,MECH,170,165,163,160,150,140,135
1605,Idhaya Engineering College for Women,Vellore,MECH,160,155,153,150,140,130,125
2005,Government College of Technology,Coimbatore,MECH,195,190,188,185,175,165,155
2006,P.S.G. College of Technology,Coimbatore,MECH,198,195,193,190,180,170,160
2007,Coimbatore Institute of Technology,Coimbatore,MECH,197,192,190,187,177,167,157
2025,Anna University Regional Campus,Coimbatore,MECH,185,180,178,175,165,155,150
2302,Sri Shanmugha College of Engineering and Technology,Salem,MECH,165,160,158,155,145,135,130
2314,Muthayammal Technical Campus,Namakkal,MECH,160,155,153,150,140,130,125
2327,N.S.N. College of Engineering and Technology,Karur,MECH,160,155,153,150,140,130,125
2328,K S R Institute for Engineering and Technology,Namakkal,MECH,165,160,158,155,145,135,130
2329,Rathinam Technical Campus,Coimbatore,MECH,165,160,158,150,140,135,130
2356,Arulmuruga Technical Campus,Karur,MECH,155,150,148,140,130,125,120
